"Fig. 2 Total soil C (TC) and its derivation from cane and grass
(SOC4) and from secondary forests (SOC3) in soil layers 0–
10 cm (a) and 10–25 cm (b)",,,,,,
y,error bar,footnote,x label,y label,graph label,ecosystem
68.1,76.9,a,TC,Soil C pools Mg ha^-1,A,S. Forest
61.1,67.6,a,TC,Soil C pools Mg ha^-1,A,Pastures
7.3,10.4,b,SOC4,Soil C pools Mg ha^-1,A,S. Forest
27.3,28.5,a,SOC4,Soil C pools Mg ha^-1,A,Pastures
60.3,66.1,a,SOC3,Soil C pools Mg ha^-1,A,S. Forest
33.3,37.9,b,SOC3,Soil C pools Mg ha^-1,A,Pastures
90.9,94.4,a,TC,Soil C pools Mg ha^-1,B,S. Forest
75.2,79.6,b,TC,Soil C pools Mg ha^-1,B,Pastures
10.7,12.1,b,SOC4,Soil C pools Mg ha^-1,B,S. Forest
34.7,37.9,a,SOC4,Soil C pools Mg ha^-1,B,Pastures
79.9,83.5,a,SOC3,Soil C pools Mg ha^-1,B,S. Forest
40.5,43.2,b,SOC3,Soil C pools Mg ha^-1,B,Pastures
